company_slug,board_slug,monitor_type,monitor_config
0x,0x-ashby,ashby,"{""token"": ""0x""}"
1-800-contacts,1-800-contacts-greenhouse,greenhouse,"{""token"": ""1800contacts""}"
100ms,100ms-pinpoint,pinpoint,"{""slug"": ""100ms""}"
10a-labs,10a-labs-greenhouse,greenhouse,"{""token"": ""10alabs""}"
10x-genomics,10x-genomics-greenhouse,greenhouse,"{""token"": ""10xgenomics""}"
11-bit-studios,11-bit-studios-careers,recruitee,"{""slug"": ""11bitstudios"", ""api_base"": ""https://11bitstudios.recruitee.com""}"
12twenty,12twenty-greenhouse,greenhouse,"{""token"": ""12twenty""}"
15five,15five-lever,lever,"{""token"": ""15five""}"
1komma5,1komma5-join,join,"{""slug"": ""1komma5grad""}"
1mind,1mind-ashby,ashby,"{""token"": ""1mind""}"
1password,1password-ashby,ashby,"{""token"": ""1password""}"
1x,1x-recruitee,recruitee,"{""token"": ""1x""}"
2k,2k-greenhouse,greenhouse,"{""token"": ""2k""}"
30mpc,30mpc-ashby,ashby,"{""token"": ""30mpc""}"
3cloud,3cloud-greenhouse,greenhouse,"{""token"": ""3cloud""}"
3red-partners,3red-partners-greenhouse,greenhouse,"{""token"": ""3redpartners""}"
66degrees,66degrees-greenhouse,greenhouse,"{""token"": ""66degrees""}"
6sense,6sense-greenhouse,greenhouse,"{""token"": ""6sense""}"
7shifts,7shifts-greenhouse,greenhouse,"{""token"": ""7shifts""}"
8am,8am-greenhouse,greenhouse,"{""token"": ""affinipay1""}"
8fleet-inc,8fleet-inc-ashby,ashby,"{""token"": ""8fleet-inc""}"
9-mothers,9-mothers-ashby,ashby,"{""token"": ""9-mothers""}"
a-lign-external,a-lign-external-greenhouse,greenhouse,"{""token"": ""align""}"
a-team,a-team-ashby,ashby,"{""token"": ""a-team""}"
a-thinking-ape,a-thinking-ape-greenhouse,greenhouse,"{""token"": ""athinkingape""}"
a11,a11-greenhouse,greenhouse,"{""token"": ""projectaservicesgmbhcokg""}"
a16z,a16z-greenhouse,greenhouse,"{""token"": ""a16z""}"
a24,a24-greenhouse,greenhouse,"{""token"": ""a24""}"
ab-inbev-growth-group,ab-inbev-growth-group-greenhouse,greenhouse,"{""token"": ""abinbev""}"
abacum,abacum-ashby,ashby,"{""token"": ""abacum""}"
abacus-insights,abacus-insights-greenhouse,greenhouse,"{""token"": ""abacusinsights""}"
abbvie,abbvie-smartrecruiters,smartrecruiters,"{""token"": ""AbbVie""}"
abbyy,abbyy-greenhouse,greenhouse,"{""token"": ""abbyy""}"
abcellera,abcellera-greenhouse,greenhouse,"{""token"": ""abcellera""}"
abilitypath,abilitypath-greenhouse,greenhouse,"{""token"": ""abilitypath""}"
ably-uk,ably-uk-greenhouse,greenhouse,"{""token"": ""ably30""}"
abnormal,abnormal-greenhouse,greenhouse,"{""token"": ""abnormalsecurity""}"
abound,abound-ashby,ashby,"{""token"": ""abound""}"
abridge,abridge-careers,ashby,
absci,absci-greenhouse,greenhouse,"{""token"": ""absci""}"
academia,academia-ashby,ashby,"{""token"": ""academia""}"
acadia-pharmaceuticals-inc,acadia-pharmaceuticals-inc-greenhouse,greenhouse,"{""token"": ""acadiapharmaceuticals""}"
accel-schools,accel-schools-greenhouse,greenhouse,"{""token"": ""accelschools""}"
accela,accela-greenhouse,greenhouse,"{""token"": ""accela""}"
acceleration-partners,acceleration-partners-greenhouse,greenhouse,"{""token"": ""accelerationpartners""}"
